times,x,y,vx,vy,radius
28.306,0.9600538366484118,-0.06177539723104458,0.0,0.0,0.18421622898546716
28.331,0.9591455824488149,-0.06566715423575822,0.0,0.0,0.17478218440603807
28.356,0.968563456974896,-0.06519512640411296,0.0,0.0,0.18603118096295077
28.38,0.9604897054683557,-0.06745290328562464,0.0,0.0,0.17822663936018687
28.406,0.9645885694390449,-0.07353521439803976,0.0,0.0,0.17858947541594847
28.431,0.9678541754591244,-0.0842762373065315,0.0,0.0,0.17086708945433313
28.456,0.9847808650418409,-0.11202409463065094,0.0,0.0,0.10504714910857377
28.48,0.9553618147466612,-0.08765862409733163,0.0,0.0,0.16990485692377846
28.506,0.9798057128778868,-0.12634103822192608,0.0,0.0,0.1013857594434456
28.531,0.957163836784525,-0.1021842011548375,0.0,0.0,0.17465920184013992
28.556,0.9709070902233445,-0.1480981867852649,0.0,0.0,0.09320929450017493
28.581,0.950216052041705,-0.11061340720523077,0.0,0.0,0.17248707840243574
28.606,0.9711653090089947,-0.15673885104973562,0.0,0.0,0.10326444697630913
28.631,0.9493514937751014,-0.1231117366974378,0.0,0.0,0.17299803889592416
28.656,0.9484186374419497,-0.13446554844780229,0.0,0.0,0.16983170259810584
28.681,0.9425164935660212,-0.12722341153185943,0.0,0.0,0.17219236642480037
28.706,0.9507644380084614,-0.14618255019134907,0.0,0.0,0.17278753590564885
28.731,0.9446727738754097,-0.15359316717363147,0.0,0.0,0.16708457658271905
28.756,0.9402265441916859,-0.148384273230725,0.0,0.0,0.17110977691202414
28.781,0.9441964335831843,-0.16626550383755578,0.0,0.0,0.16822642725822676
28.805,0.9382863509025119,-0.1627576667309335,0.0,0.0,0.16805260920032808
28.831,0.9570237783530549,-0.20745891883837397,0.0,0.0,0.11759697408617428
28.856,0.9509445031861947,-0.2152076937720061,0.0,0.0,0.1098526599138458
28.881,0.9292826264159785,-0.17375841448261295,0.0,0.0,0.1615239333944207
28.906,0.9344976373768924,-0.1841516586457409,0.0,0.0,0.1668219831223566
28.931,0.9346370907540333,-0.19376511609702476,0.0,0.0,0.1652919618631453
28.956,0.9354480876966007,-0.2083267967552288,0.0,0.0,0.1640524537467377
28.981,0.927877456311707,-0.2042014312926785,0.0,0.0,0.1578419627746048
29.006,0.9303743984261017,-0.2101457183209197,0.0,0.0,0.1628503639889892
29.034,0.9300954334552,-0.210424004291835,0.0,0.0,0.16727948985992788
29.056,0.9326340359071799,-0.22607806703875405,0.0,0.0,0.16712083991647572
29.081,0.9208798758240501,-0.21921026343329933,0.0,0.0,0.15122860559181914
29.106,0.9301787948598292,-0.2293508794470151,0.0,0.0,0.16784841524856828
29.131,0.9246339439700616,-0.27378519443470806,0.0,0.0,0.11305300972695984
29.156,0.9300689297862903,-0.25767435794183935,0.0,0.0,0.16237027184931038
29.18,0.9165053825164209,-0.24750015598757857,0.0,0.0,0.1442583680560627
29.206,0.9202240922471586,-0.2454570872215041,0.0,0.0,0.1541893044843762
29.231,0.9194277802864186,-0.25730938635855816,0.0,0.0,0.15193825801026092
29.256,0.9198217089215703,-0.2583999327146186,0.0,0.0,0.1553887781135739
29.28,0.9171963263875313,-0.2981885279739618,0.0,0.0,0.1233159570880967
29.306,0.9166935355817474,-0.2767876660196143,0.0,0.0,0.14724173862157358
29.33,0.9225961503084414,-0.29520735370199197,0.0,0.0,0.13274864507508716
29.356,0.9290540769803153,-0.2904513500017626,0.0,0.0,0.17012971183847633
29.381,0.9167482581187772,-0.2865194694652561,0.0,0.0,0.1492377111262173
29.406,0.9232298149805815,-0.28678964212411745,0.0,0.0,0.15639633424754315
29.431,0.9179385120425372,-0.29167382005982195,0.0,0.0,0.1532690342189584
29.455,0.9261815325542222,-0.3084648721645856,0.0,0.0,0.15823141914887476
29.481,0.916049765119918,-0.30062040392236494,0.0,0.0,0.14486077438928896
29.505,0.9173825388781934,-0.30387630657308434,0.0,0.0,0.14806505008672186
29.53,0.9290054638854437,-0.3037635300290627,0.0,0.0,0.16281577848124743
29.555,0.9244053784164882,-0.3075394698002071,0.0,0.0,0.15523613115984816
